date,min,max,median,q1,q3,stdev,count
2021-09-28T00:00:00.000Z,0,173,3,2,26,16.055,583
2021-09-29T00:00:00.000Z,1,69,17.5,5,38,17.654,586
2021-09-30T00:00:00.000Z,0,64,3,2,4,5.832,582
2021-10-01T00:00:00.000Z,1,51,5,4,7,3.212,579
2021-10-02T00:00:00.000Z,6,56,17,11.5,23,8.355,577
2021-10-03T00:00:00.000Z,12,130,33,30,36,7.399,583
2021-10-04T00:00:00.000Z,0,67,3,2,6,5.496,581
2021-10-05T00:00:00.000Z,0,78,13,1,20,17.74,585
2021-10-06T00:00:00.000Z,0,204,14,9,18,11.038,583
2021-10-07T00:00:00.000Z,1,100,10,7,15,9.574,584
2021-10-08T00:00:00.000Z,2,52,13,10,25,9.877,582
2021-10-09T00:00:00.000Z,16,76,28,23,38,9.48,583
2021-10-10T00:00:00.000Z,13,91,29,22,35,9.211,583
2021-10-11T00:00:00.000Z,0,69,3,2,27,19.689,587
2021-10-12T00:00:00.000Z,0,85,1,0,2,13.004,583
2021-10-13T00:00:00.000Z,0,62,3,1,6,8.196,582
2021-10-14T00:00:00.000Z,0,40,4,2,7,3.559,584
2021-10-15T00:00:00.000Z,0,26,3,2,11,6.26,584
2021-10-16T00:00:00.000Z,0,29,3,2,4,2.041,583
2021-10-17T00:00:00.000Z,0,207,5,3,7,9.477,584
2021-10-18T00:00:00.000Z,0,76,2,1,3,6.335,566
2021-10-19T00:00:00.000Z,0,74,31,22,46,18.363,586
2021-10-20T00:00:00.000Z,2,61,30,17,41,15.258,564
2021-10-21T00:00:00.000Z,0,64,3,2,6,4.756,584
2021-10-22T00:00:00.000Z,0,16,1,1,3,2.056,584
2021-10-23T00:00:00.000Z,0,149,1,0,4,9.198,582
2021-10-24T00:00:00.000Z,0,28,4,3,8,3.821,583
2021-10-25T00:00:00.000Z,5,146,26,16,42,18.033,585
2021-10-26T00:00:00.000Z,0,60,20,8,44,18.245,581
2021-10-27T00:00:00.000Z,5,54,19,13,29,11.6,584
2021-10-28T00:00:00.000Z,9,58,36,17,42,12.541,583
2021-10-29T00:00:00.000Z,29,180,60,46,76,20.797,585
2021-10-30T00:00:00.000Z,27,123,71,57,96,24.631,583
2021-10-31T00:00:00.000Z,16,87,48,40,63,17.132,580
2021-11-01T00:00:00.000Z,1,76,12,4,58,27.382,583
2021-11-02T00:00:00.000Z,1,163,16,10,24,13.938,565
2021-11-03T00:00:00.000Z,11,75,28,24,33,7.884,575
2021-11-04T00:00:00.000Z,5,70,21,14,28,9.501,581
2021-11-05T00:00:00.000Z,0,23,3,2,5,2.344,583
2021-11-06T00:00:00.000Z,1,133,5,3,23,16.384,575
2021-11-07T00:00:00.000Z,0,54,3,2,11,13.233,583
2021-11-08T00:00:00.000Z,0,114,2,1,4,9.773,484
2021-11-09T00:00:00.000Z,0,41,4,2,20,11.222,573
2021-11-10T00:00:00.000Z,17,74,33,28,43,9.708,565
2021-11-11T00:00:00.000Z,0,47,7,3,22,12.418,564
2021-11-12T00:00:00.000Z,1,33,9,5,16,6.879,540
2021-11-13T00:00:00.000Z,10,65,40,33,45,11.687,566
2021-11-14T00:00:00.000Z,3,102,12,9,25,14.157,554
2021-11-15T00:00:00.000Z,4,83,26,13,33,11.845,560
2021-11-16T00:00:00.000Z,19,750,36,28,45,34.509,565
2021-11-17T00:00:00.000Z,1,55,13,8,20,10.301,434
2021-11-18T00:00:00.000Z,0,169,3,2,5,7.616,542
2021-11-19T00:00:00.000Z,0,29,5,3,7,2.869,534
2021-11-20T00:00:00.000Z,0,18,4,2,7,2.769,555
2021-11-21T00:00:00.000Z,0,128,1,0,3,8.853,577
2021-11-22T00:00:00.000Z,0,92,4,2,7,8.773,572
2021-11-23T00:00:00.000Z,0,74,4,2,7,7.511,565
2021-11-24T00:00:00.000Z,0,40,2,1,6,6.724,575
2021-11-25T00:00:00.000Z,0,43,21,2,30,13.55,579
2021-11-26T00:00:00.000Z,0,70,5,1,12,7.887,578
2021-11-27T00:00:00.000Z,0,29,2,1,4,3.602,569
2021-11-28T00:00:00.000Z,0,48,2,1,3,3.395,571
2021-11-29T00:00:00.000Z,1,131,6,3,20,21.501,574
2021-11-30T00:00:00.000Z,0,137,7,3,11,13.945,566
2021-12-01T00:00:00.000Z,0,124,2,0,4,9.709,552
2021-12-02T00:00:00.000Z,0,65,1,0,11,12.281,554
2021-12-03T00:00:00.000Z,0,163,6,3,11,16.595,242
2021-12-04T00:00:00.000Z,2,40,9,6,11,4.303,556
2021-12-05T00:00:00.000Z,0,27,3,2,4,2.589,571
2021-12-06T00:00:00.000Z,1,64,5,3,7,5.057,573
2021-12-07T00:00:00.000Z,2,69,8,6,11,8.132,568
2021-12-08T00:00:00.000Z,16,135,46.5,41,52,12.621,566
2021-12-09T00:00:00.000Z,15,208,62,37,74,26.571,542
2021-12-10T00:00:00.000Z,3,119,52,21,69,25.873,559
2021-12-11T00:00:00.000Z,16,180,40,29,60,19.652,567
2021-12-12T00:00:00.000Z,12,179,34,20,38,13.939,551
2021-12-13T00:00:00.000Z,7,119,19,14,25,13.569,552
2021-12-14T00:00:00.000Z,0,55,15,9,24,10.671,555
2021-12-15T00:00:00.000Z,8,61,25,19.5,31,8.52,568
2021-12-16T00:00:00.000Z,1,414,8,6,10,17.488,569
2021-12-17T00:00:00.000Z,2,48,9,8,12,4.551,573
